SIMULACION NUMERO : 1
-------------------------------- 
t_funcionando      t_parado        t_total_func       t_total_parado       t_total       Disponibilidad 
        65,2012         38,4655         65,2012         38,4655        103,6667          0,6290 
        61,0264         23,9669        126,2276         62,4324        188,6600          0,6691 
        41,6838         32,9247        167,9114         95,3571        263,2685          0,6378 
        35,0565         17,3939        202,9679        112,7510        315,7189          0,6429 
        86,4662         33,5930        289,4342        146,3440        435,7782          0,6642 
        80,9101         31,7364        370,3442        178,0804        548,4246          0,6753 
        93,3690         22,7594        463,7133        200,8398        664,5530          0,6978 
        62,1455          7,4916        525,8588        208,3314        734,1902          0,7162 
        61,8509         16,7284        587,7096        225,0597        812,7694          0,7231 
        81,7682         36,2568        669,4779        261,3166        930,7944          0,7193 
        37,4478         33,3162        706,9256        294,6328       1001,5584          0,7058 
        81,1690         31,7341        788,0946        326,3668       1114,4614          0,7072 
        70,2219         30,7744        858,3165        357,1413       1215,4578          0,7062 
        74,9725         29,0475        933,2890        386,1888       1319,4778          0,7073 
        76,2285         21,8228       1009,5175        408,0116       1417,5291          0,7122 
        34,6889         11,2863       1044,2064        419,2979       1463,5043          0,7135 
        31,9743         20,8964       1076,1807        440,1943       1516,3750          0,7097 
        45,6293          9,7538       1121,8100        449,9480       1571,7580          0,7137 
        39,4555         33,4839       1161,2655        483,4319       1644,6974          0,7061 
        93,9413         30,6598       1255,2069        514,0917       1769,2985          0,7094 
        42,4127         11,6992       1297,6196        525,7909       1823,4105          0,7116 
        59,2962         23,5697       1356,9158        549,3606       1906,2764          0,7118 
        72,3094         24,0384       1429,2252        573,3989       2002,6241          0,7137 
        73,2284         14,4221       1502,4535        587,8211       2090,2746          0,7188 
        83,7039         37,9986       1586,1574        625,8197       2211,9771          0,7171 
        36,7380          8,3067       1622,8954        634,1264       2257,0218          0,7190 
        94,9051         24,3382       1717,8005        658,4646       2376,2652          0,7229 
        56,7462         30,2787       1774,5467        688,7433       2463,2900          0,7204 
        45,5759         29,8927       1820,1226        718,6360       2538,7586          0,7169 
        95,7686         21,7336       1915,8912        740,3696       2656,2608          0,7213 
        40,0193         20,3362       1955,9105        760,7059       2716,6164          0,7200 
        75,8191         18,7970       2031,7297        779,5028       2811,2325          0,7227 
        81,7206         26,7142       2113,4502        806,2170       2919,6672          0,7239 
        80,4968         22,9776       2193,9470        829,1946       3023,1417          0,7257 
        47,7996         19,4006       2241,7467        848,5952       3090,3419          0,7254 
        91,5873         28,5315       2333,3340        877,1267       3210,4607          0,7268 
        56,6946          7,7452       2390,0286        884,8719       3274,9005          0,7298 
        79,6472         38,8119       2469,6758        923,6838       3393,3596          0,7278 
        56,5260         14,5528       2526,2018        938,2366       3464,4384          0,7292 
        40,1568          8,9234       2566,3586        947,1600       3513,5186          0,7304 
        37,2023         20,7792       2603,5609        967,9392       3571,5001          0,7290 
        93,0637         30,7948       2696,6245        998,7340       3695,3586          0,7297 
        54,7043          7,9038       2751,3289       1006,6378       3757,9667          0,7321 
        44,1870         23,5925       2795,5159       1030,2303       3825,7462          0,7307 
        32,7309         24,0894       2828,2468       1054,3198       3882,5665          0,7284 
        90,2654         21,5649       2918,5122       1075,8847       3994,3968          0,7307 
        90,4093         22,4102       3008,9215       1098,2948       4107,2163          0,7326 
        70,1682         32,5155       3079,0896       1130,8103       4209,9000          0,7314 
        64,1489          9,0141       3143,2385       1139,8244       4283,0629          0,7339 
        83,4273          7,2317       3226,6658       1147,0561       4373,7219          0,7377 
        85,6451         11,4015       3312,3110       1158,4575       4470,7685          0,7409 
        97,9443         19,9170       3410,2552       1178,3745       4588,6297          0,7432 
        34,1673         21,6449       3444,4226       1200,0194       4644,4420          0,7416 
        76,0772         36,8529       3520,4998       1236,8724       4757,3722          0,7400 
        87,1309         20,7970       3607,6307       1257,6694       4865,3001          0,7415 
        52,8530         39,7901       3660,4836       1297,4595       4957,9432          0,7383 
        68,4035         36,0818       3728,8871       1333,5413       5062,4284          0,7366 
        54,0509         30,9442       3782,9380       1364,4855       5147,4235          0,7349 
        65,2253         37,8056       3848,1633       1402,2911       5250,4544          0,7329 
        30,3195         30,4788       3878,4828       1432,7699       5311,2527          0,7302 
        57,6310         14,2131       3936,1138       1446,9831       5383,0968          0,7312 
        61,1610         31,3018       3997,2748       1478,2849       5475,5597          0,7300 
        66,0388         21,4691       4063,3136       1499,7540       5563,0676          0,7304 
        85,2637         37,1744       4148,5773       1536,9284       5685,5057          0,7297 
        61,4125         37,8896       4209,9899       1574,8181       5784,8079          0,7278 
        63,3309         17,4910       4273,3207       1592,3091       5865,6298          0,7285 
        62,5939         11,5565       4335,9146       1603,8656       5939,7802          0,7300 
        48,4348         38,9939       4384,3494       1642,8595       6027,2089          0,7274 
        61,2843         23,8130       4445,6337       1666,6726       6112,3062          0,7273 
        76,3065         37,0014       4521,9402       1703,6740       6225,6141          0,7263 
        55,8399         16,8352       4577,7800       1720,5092       6298,2892          0,7268 
        78,0654         27,4904       4655,8454       1747,9996       6403,8450          0,7270 
        43,3974         35,6207       4699,2428       1783,6203       6482,8630          0,7249 
        92,4918         39,3969       4791,7345       1823,0172       6614,7517          0,7244 
        38,6373         34,9922       4830,3719       1858,0094       6688,3813          0,7222 
        48,8985         25,2931       4879,2703       1883,3025       6762,5729          0,7215 
        33,9528          8,7084       4913,2231       1892,0109       6805,2340          0,7220 
        72,8604         26,0196       4986,0835       1918,0305       6904,1140          0,7222 
        78,1755         14,7290       5064,2590       1932,7595       6997,0185          0,7238 
        91,3608         27,4955       5155,6198       1960,2550       7115,8748          0,7245 
        75,8013         31,5477       5231,4211       1991,8027       7223,2238          0,7243 
        61,9119         36,0435       5293,3330       2027,8462       7321,1792          0,7230 
        95,9356          7,2825       5389,2686       2035,1287       7424,3973          0,7259 
        66,9609         20,5480       5456,2295       2055,6766       7511,9061          0,7263 
        73,2538         19,3444       5529,4833       2075,0210       7604,5043          0,7271 
        49,5064         39,7932       5578,9898       2114,8142       7693,8040          0,7251 
        49,0388         10,1492       5628,0286       2124,9634       7752,9920          0,7259 
        53,9636         10,1908       5681,9921       2135,1542       7817,1464          0,7269 
        67,2352         34,1998       5749,2274       2169,3540       7918,5814          0,7260 
        68,1520         28,3690       5817,3794       2197,7231       8015,1024          0,7258 
